trainer,trainer_starts,trainer_siegrate
J. Meinecke,2.0,0.0
Alexandra U Liebert,2.0,0.0
W Knuiman,2.0,0.0
W Neuroth,2.0,0.0
A. Murphy,1.0,0.0
W Szymczuk,1.0,0.0
W. Knuiman/Niederlande,1.0,0.0
W. J. Haggas,1.0,0.0
V. Henkenjohann,1.0,0.0
V. Head/Frankreich,1.0,0.0
Ursula Fröhlich,1.0,0.0
Ulrike Timmermann,1.0,0.0
Aleksej Luft,1.0,0.0
J. Müller,1.0,0.0
Patrik Kohl,1.0,0.0
M. Kacprzyk,1.0,0.0
E Pils,1.0,0.0
P. van de Weijer/Niederlande,1.0,0.0
Pavel Hlavaty,1.0,0.0
Patrik Olave Valdivielso,1.0,1.0
Vendula Koreckova,1.0,0.0
Vaclav Luka (Jnr),1.0,0.0
Mareike Beer,1.0,0.0
Mario Baratti,1.0,0.0
Veronika Jandová,1.0,0.0
Victoria Head,1.0,0.0
Marlena Stanislawska,1.0,0.0
Martin Bach,1.0,0.0
Michal Demo,1.0,0.0
Matthias Schwinn,1.0,0.0
F. Drozda,1.0,0.0
M. Waldemar Falk,1.0,0.0
Michal Kalcik,1.0,0.0
E. Zahariev/Polen,1.0,0.0
G. Rarick,1.0,1.0
Erich Pils,1.0,0.0
F Mehl,1.0,1.0
Francis-Henri Graffard,1.0,0.0
Erik M. Verheij,1.0,1.0
Dylan Schepens,1.0,0.0
Daniel Paulick,1.0,0.0
Donny Postema/Niederlande,1.0,0.0
Nicole Char,1.0,0.0
Nicolas Caullery,1.0,0.0
N. Prosek Arendsen/Tschechien,1.0,0.0
N. Clement,1.0,0.0
P. Faulhaber,1.0,0.0
G. Meijer/Niederlande,1.0,0.0
G. Maronka,1.0,0.0
Dr Chr Paraknewitz Kalla,1.0,0.0
Ch Kehrer,1.0,0.0
Charlie Johnston,1.0,1.0
L. Comer/,1.0,0.0
Karl Richard Burke,1.0,0.0
S. Schmitz,1.0,0.0
S. Scherer,1.0,0.0
B. Josef Friesdorf,1.0,0.0
B Roesch,1.0,0.0
Conny Whitfield,1.0,0.0
Christoph Masser,1.0,0.0
Gijs C.P. Snijders,1.0,0.0
Rene Jansen,1.0,0.0
Christine Hottewitzsch,1.0,0.0
Heinz Josef Populoh,1.0,0.0
L. Krejcova,1.0,0.0
L. Thomas,1.0,0.0
M Bach,1.0,0.0
Ludovic Gadbin,1.0,0.0
G. Witold Wroblewski,1.0,0.0
Gerald Mosse,1.0,0.0
Corinna Huber,1.0,0.0
R M Beckett,1.0,0.0
Primoz Hribar,1.0,0.0
Pierre Groualle,1.0,0.0
Philip J. Jonkhart,1.0,1.0
M. Delcher-Sanchez,1.0,0.0
M O'Callaghan,1.0,0.0
H. Al Jehani,1.0,0.0
A Biedermann,1.0,0.0
Z. Koplik,1.0,0.0
J. Chodur,1.0,1.0
J. Vana,1.0,1.0
Willy Knuiman/Niederlande,1.0,0.0
Andreas Biedermann,1.0,0.0
Anneliese Bollien,1.0,0.0
April Joy Swann,1.0,0.0
J. Stanley Moore,1.0,1.0
J. Seidl,1.0,0.0
U Timmermann,1.0,0.0
J. Demele,1.0,0.0
Tim Donworth,1.0,0.0
T Potters,1.0,0.0
Swen Straßmeier,1.0,0.0
Sven Schleppi,1.0,0.0
Amy Murphy,1.0,0.0
Scarlet Möller,1.0,0.0
Simon & Ed Crisford,1.0,1.0
Sir Mark Prescott,1.0,0.0
Barbora Malkova,1.0,0.0
Saskia Muller,1.0,0.0
J Hanacek,1.0,0.0
J Rogl,1.0,0.0
Hugo Anton Peeters,1.0,0.0
Hisashi Shimizu,1.0,0.0
Henri F. Devin,1.0,0.0
K Ziemianski,1.0,0.0
Chiara Kehrer,1.0,0.0
C. Lerner/Frankreich,1.0,1.0
Robert Van Den Troost,1.0,0.0
Richard Hannon Jr,1.0,0.0
C. Fellowes,1.0,0.0
C. Head,1.0,0.0
