horse_name,bisherige_starts,bisherige_siege,siegrate_historisch,race_date
Miss El Fundi,0,0.0,0.0,2024-09-22
Armira,6,2.0,0.3333333333333333,2024-09-22
Whispering Dream,3,1.0,0.3333333333333333,2024-09-22
Prairie Glory,0,0.0,0.0,2024-09-22
Trevaunance,0,0.0,0.0,2024-09-22
Palladium,5,2.0,0.4,2024-09-22
Erle,3,3.0,1.0,2024-09-22
Easter Island,5,0.0,0.0,2024-09-22
Roch,0,0.0,0.0,2024-09-22
Alaris,2,0.0,0.0,2024-09-22
Soraya Maxima,7,1.0,0.14285714285714285,2024-09-22
Black Hills,2,0.0,0.0,2024-09-22
Kronjuwel,4,1.0,0.25,2024-09-22
Modulation,3,0.0,0.0,2024-09-22
Jangkhe,5,0.0,0.0,2024-09-22
Shoot The Moon,1,0.0,0.0,2024-09-22
Floating Voter,2,0.0,0.0,2024-09-28
Attacco,7,1.0,0.14285714285714285,2024-09-28
Alexa's Princess,2,0.0,0.0,2024-09-28
Der Prince,12,2.0,0.16666666666666666,2024-09-28
Score,5,0.0,0.0,2024-09-28
Mahanadi,7,1.0,0.14285714285714285,2024-09-28
Pacific Sky,6,0.0,0.0,2024-09-28
Nom De Plume,1,0.0,0.0,2024-09-29
Faster Than Life,5,0.0,0.0,2024-09-29
High Destino,2,0.0,0.0,2024-09-29
Aradous,8,0.0,0.0,2024-09-29
Doolily,6,1.0,0.16666666666666666,2024-09-29
See Hector,3,0.0,0.0,2024-09-29
Miss Cantik,0,0.0,0.0,2024-09-29
Royal Night,6,0.0,0.0,2024-09-29
Geopolitic,5,2.0,0.4,2024-09-29
Narmada,3,2.0,0.6666666666666666,2024-09-29
Global Queen,1,0.0,0.0,2024-09-29
Naila,2,1.0,0.5,2024-09-29
Taiora,3,0.0,0.0,2024-09-29
Isfand,1,1.0,1.0,2024-09-29
