horse_name,bisherige_starts,bisherige_siege,siegrate_historisch,race_date
Chili Valentino,22.0,1.0,0.0455,2026-04-26
Chili Valentino,23.0,1.0,0.0435,2026-05-09
Chili Valentino,24.0,1.0,0.0417,2026-05-31
Chista,0.0,0.0,0.0,2026-05-14
Chista,1.0,0.0,0.0,2026-05-25
Cintaria,3.0,0.0,0.0,2026-03-22
Cintaria,4.0,0.0,0.0,2026-04-06
Cintaria,5.0,0.0,0.0,2026-05-09
City Cat,14.0,0.0,0.0,2026-02-22
City Cat,15.0,1.0,0.0667,2026-03-08
City of Troy,5.0,0.0,0.0,2026-01-18
City of Troy,6.0,0.0,0.0,2026-02-22
Cladonia,0.0,0.0,0.0,2026-05-01
Cladonia,1.0,0.0,0.0,2026-05-31
Claim The Stars,0.0,0.0,0.0,2026-05-25
Classic Fleur,13.0,2.0,0.1538,2026-05-17
Classic Fleur,14.0,2.0,0.1429,2026-05-30
Cleopatra Al Gunay,1.0,0.0,0.0,2026-04-19
Coco Soleil,2.0,0.0,0.0,2026-05-01
Cold Heart,4.0,0.0,0.0,2026-04-06
Cold Heart,5.0,0.0,0.0,2026-05-25
Coletta,6.0,0.0,0.0,2026-04-19
Coletta,7.0,1.0,0.1429,2026-05-23
Coletta,8.0,1.0,0.125,2026-06-07
Comedy La Vega,24.0,3.0,0.125,2026-03-08
Comedy La Vega,25.0,3.0,0.12,2026-03-28
Commander'S Intent,0.0,0.0,0.0,2026-04-26
Company Keeping,21.0,8.0,0.381,2026-04-18
Company Keeping,22.0,8.0,0.3636,2026-05-01
Company Keeping,23.0,8.0,0.3478,2026-05-10
Company Keeping,24.0,8.0,0.3333,2026-05-14
Company Keeping,25.0,8.0,0.32,2026-05-25
Company Keeping,26.0,8.0,0.3077,2026-06-04
Corbin,14.0,1.0,0.0714,2026-05-24
Coriolan,22.0,2.0,0.0909,2026-01-04
Coriolan,23.0,2.0,0.087,2026-01-18
Coriolan,24.0,2.0,0.0833,2026-02-22
Coriolan,25.0,2.0,0.08,2026-03-08
Coriolan,26.0,3.0,0.1154,2026-04-06
Coriolan,27.0,3.0,0.1111,2026-05-01
Coriolan,28.0,4.0,0.1429,2026-05-30
Cortado,4.0,0.0,0.0,2026-05-08
Crefelder,11.0,2.0,0.1818,2026-03-08
Crefelder,12.0,2.0,0.1667,2026-03-29
Crefelder,13.0,3.0,0.2308,2026-04-25
Crefelder,14.0,3.0,0.2143,2026-05-31
Crocus,14.0,3.0,0.2143,2026-04-25
Crocus,15.0,3.0,0.2,2026-05-14
Crocus,16.0,3.0,0.1875,2026-05-25
Cuban Lynx,7.0,2.0,0.2857,2026-05-16
Cuban Lynx,8.0,2.0,0.25,2026-05-31
Cuban Lynx,9.0,2.0,0.2222,2026-06-07
Cyanea,7.0,1.0,0.1429,2026-04-19
Cyanea,8.0,1.0,0.125,2026-05-23
Daddy's Heart,5.0,0.0,0.0,2026-03-28
Daddy's Heart,6.0,0.0,0.0,2026-05-16
Daddy's Heart,7.0,0.0,0.0,2026-06-07
Dalisha,0.0,0.0,0.0,2026-05-25
Dallas,0.0,0.0,0.0,2026-05-25
Dalyan,1.0,0.0,0.0,2026-04-12
Damara,3.0,0.0,0.0,2026-04-12
Damara,4.0,0.0,0.0,2026-04-26
Dana Delight,15.0,3.0,0.2,2026-05-09
Dana Delight,16.0,4.0,0.25,2026-06-07
Dancing Lips,0.0,0.0,0.0,2026-05-24
Dangerous Darling,7.0,0.0,0.0,2026-01-04
Dangerous Darling,8.0,0.0,0.0,2026-01-18
Dangerous Darling,9.0,0.0,0.0,2026-02-01
Dangerous Darling,10.0,0.0,0.0,2026-03-08
Dangerous Darling,11.0,0.0,0.0,2026-04-25
Dangerous Darling,12.0,0.0,0.0,2026-05-25
Danylov,3.0,1.0,0.3333,2026-05-09
Danylov,4.0,2.0,0.5,2026-06-04
Dardanos,2.0,0.0,0.0,2026-05-14
Dark Brunette,1.0,0.0,0.0,2026-05-09
Dark Brunette,2.0,0.0,0.0,2026-06-04
Darling Jay,18.0,3.0,0.1667,2026-01-18
Darling Jay,19.0,3.0,0.1579,2026-02-01
Darling Jay,20.0,3.0,0.15,2026-03-08
Darling Jay,21.0,3.0,0.1429,2026-03-29
Darling Jay,22.0,3.0,0.1364,2026-04-12
Darling Jay,23.0,3.0,0.1304,2026-04-26
Darling Jay,24.0,4.0,0.1667,2026-05-16
Darwinist,0.0,0.0,0.0,2026-05-01
Dastan,0.0,0.0,0.0,2026-04-19
Dayana Al Gunay,3.0,0.0,0.0,2026-05-10
Dayana Al Gunay,4.0,0.0,0.0,2026-05-31
Dayyan,0.0,0.0,0.0,2026-02-22
Dayyan,1.0,0.0,0.0,2026-04-26
Dayyan,2.0,0.0,0.0,2026-05-17
Dayyan,3.0,0.0,0.0,2026-06-07
Deep Love,6.0,1.0,0.1667,2026-06-07
Delgardo,8.0,3.0,0.375,2026-04-05
Delgardo,9.0,3.0,0.3333,2026-06-07
Delighted,3.0,0.0,0.0,2026-04-12
Delighted,4.0,0.0,0.0,2026-05-08
Delire D'Amour,0.0,0.0,0.0,2026-06-07
Desika,2.0,1.0,0.5,2026-05-09
Diamond Gold,13.0,1.0,0.0769,2026-03-28
Diamond Gold,14.0,1.0,0.0714,2026-05-16
Diamond Gold,15.0,1.0,0.0667,2026-06-06
Diamond Spirit,1.0,0.0,0.0,2026-02-01
Diamond Spirit,2.0,0.0,0.0,2026-03-28
Diamond Spirit,3.0,0.0,0.0,2026-05-08
