jockey,jockey_starts,jockey_siegrate
Voher:Nina BaltromeiMichaela Malacova,0,0.0
Mirko Sanna,45,0.0
Alexander Weis,38,0.02631578947368421
Jiri Palik,17,0.0
Jule Höggemann,15,0.0
Marco Ghiani,3,0.0
Maike Riehl,51,0.0392156862745098
Fabien Lefebvre,1,0.0
Hugo Boutin,167,0.12574850299401197
Melina Ehm,68,0.11764705882352941
Tolga Koyuncu,20,0.05
Sascha Stappaerts,1,0.0
Finley Marsh,0,0.0
Voher:Pablo WerderAndrea Ricupa,1,0.0
Voher:Miguel LopezWladimir Panov,0,0.0
Nina K. Schumann,5,0.0
Voher:Wladimir PanovAnna van den Troost,0,0.0
Voher:Wladimir PanovVanesa Csernak,0,0.0
Voher:Wladimir PanovLeon Wolff,2,0.5
Voher:Wladimir PanovEduardo Pedroza,1,0.0
Voher:Jack MitchellDavid Liska,0,0.0
Andrasch Starke,286,0.13986013986013987
Cieren Fallon,1,0.0
Voher:Wladimir PanovMartin Seidl,0,0.0
Antoine Hamelin,7,0.14285714285714285
Voher:Martin SeidlWladimir Panov,0,0.0
Marina Eckert,1,0.0
Hollie Doyle,10,0.2
Eddy Hardouin,6,0.16666666666666666
Cristian Demuro,6,0.16666666666666666
Swen Straßmeier,28,0.10714285714285714
Claudia Fleißner,23,0.043478260869565216
Giulia Pauls,2,0.0
Annett Keller,10,0.0
Shannon Patricia Spratter,13,0.0
Anna-Lena Weidler,53,0.07547169811320754
Kevin Braye,33,0.2727272727272727
Birgit Roesch,12,0.0
Glen Meury,1,0.0
Marissa Potters,61,0.16393442622950818
Selina Torres-Wengemuth,3,0.0
Concetto Santangelo,226,0.04424778761061947
Darragh Keenan,0,0.0
Emelie Gustavsson,3,0.0
Laura Giesgen,7,0.0
Frida Sandbraaten,2,0.0
Solange Gourdain,1,0.0
Voher:Marissa PottersJudit Dickinson,0,0.0
Cecilia Schnyder,1,0.0
Voher:Leon WolffVanesa Csernak,0,0.0
Bertrand Flandrin,102,0.12745098039215685
Marie Gast,34,0.029411764705882353
Julian Sixt,19,0.10526315789473684
Jaqueline Laquai,60,0.11666666666666667
Ulrike Timmermann,19,0.15789473684210525
Oliver Wilson,1,0.0
Maxime Guyon,0,0.0
Jack Mitchell,8,0.125
Luke Morris,22,0.22727272727272727
Adrie de Vries,354,0.1977401129943503
William T. Buick,3,0.3333333333333333
David Liska,267,0.12734082397003746
Ines Löwe,24,0.16666666666666666
Anna van den Troost,464,0.08620689655172414
Voher:Concetto SantangeloMichael Cadeddu,0,0.0
Stefanie Koyuncu,160,0.0625
Benjamin Marie,31,0.16129032258064516
Sina Schmidt,25,0.08
Chelsea E. Watlow,3,0.0
Hakim Tabet,13,0.46153846153846156
Silke Brüggemann,45,0.15555555555555556
Voher:Concetto SantangeloLeon Wolff,1,0.0
Rene Piechulek,475,0.14526315789473684
Michal Abik,495,0.06868686868686869
Michaela Jakabova,0,0.0
Petra Zedkova,0,0.0
Voher:Anna van den TroostLeon Wolff,0,0.0
Milan Zatloukal,21,0.19047619047619047
Jan Verner,5,0.0
Voher:Anna van den TroostMichael Cadeddu,0,0.0
Martin Laube,35,0.11428571428571428
Wladimir Panov,407,0.12530712530712532
Nikola Miklova,1,0.0
Voher:Anna van den TroostSean Byrne,0,0.0
Voher:Concetto SantangeloMartin Laube,0,0.0
Alen Ördög,0,0.0
Vanesa Csernak,23,0.13043478260869565
Senan Macredmond,249,0.12048192771084337
Adam Florian,36,0.05555555555555555
Voher:Anna van den TroostThore Hammer-Hansen,0,0.0
Voher:Matthew Sebastian JohnsonPatrick Gibson,0,0.0
Voher:Liili-Marie EngelsLilli-Marie Engels,1,0.0
Jaromir Safar,8,0.0
Martin Seidl,564,0.09929078014184398
Pablo Werder,69,0.07246376811594203
Voher:Michael CaddeduMichael Cadeddu,1,0.0
Michaela Malacova,180,0.09444444444444444
Patricia Tepper,57,0.12280701754385964
Julia Rogl,9,0.0
Ronny Bonk,1,0.0
Vivian Fahrnow,21,0.14285714285714285
Michael Cadeddu,565,0.07787610619469026
Bayarsaikhan Ganbat,228,0.07894736842105263
Esentur Turganaaly Uulu,123,0.17073170731707318
Nora Cronauer,25,0.08
Koen Clijmans,19,0.0
Sean Byrne,459,0.1111111111111111
Mira Kraeber,3,0.0
Thore Hammer-Hansen,842,0.1876484560570071
Larissa Bieß,17,0.0
Janine Beckmann,78,0.0641025641025641
Elodie Marie Palau Teruel,60,0.08333333333333333
Yeva Bakalova,8,0.0
Alina Schubert,56,0.08928571428571429
Michaela Musialova,24,0.041666666666666664
Stanislav Georgiev,6,0.0
Patrick Gibson,199,0.04522613065326633
Eduardo Pedroza,406,0.16009852216748768
Nina Wagner,42,0.047619047619047616
Miguel Lopez,411,0.0681265206812652
Nina Baltromei,310,0.15161290322580645
Matthew Sebastian Johnson,87,0.12643678160919541
Nicol Polli,41,0.07317073170731707
Sibylle Vogt,421,0.14489311163895488
Jozef Bojko,507,0.0631163708086785
Leon Wolff,605,0.16033057851239668
Janina Boysen,153,0.1111111111111111
Lilli-Marie Engels,391,0.13043478260869565
Andrea Ricupa,296,0.14527027027027026
Alexander Pietsch,309,0.08090614886731391
